Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 24 workers.
Copying objective function to workers...
Done copying objective function to workers.
[Warning: MATLAB has disabled some advanced graphics rendering features by
switching to software OpenGL. For more information, click <a
href="matlab:opengl('problems')">here</a>.] 
|=======================================================================================================================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |  FilterSize1 |  NumFilters1 |  FilterSize2 |  NumFilters2 |   StrideVal1 |   StrideVal2 |  FCLayerSize |      Dropout | InitialLearn-| MiniBatchSize|
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |              |              |              |              | Rate         |              |
|=======================================================================================================================================================================================================================================|
|    1 |      24 | Best   |     0.38889 |      2500.2 |     0.38889 |     0.38889 |            6 |            8 |            6 |           40 |            3 |            2 |           24 |      0.27082 |   0.00018738 |           19 |
|    2 |      24 | Accept |     0.40278 |      2618.2 |     0.38889 |     0.38959 |            4 |           16 |            6 |           24 |            3 |            3 |           63 |      0.29033 |   6.4836e-05 |           18 |
|    3 |      24 | Accept |         0.5 |      2678.8 |     0.38889 |     0.38892 |            3 |           13 |            4 |           21 |            2 |            3 |           18 |      0.48345 |   0.00021801 |           19 |
|    4 |      24 | Accept |     0.43056 |      3561.5 |     0.38889 |     0.38893 |            5 |           11 |            5 |           32 |            2 |            2 |           64 |      0.42656 |   0.00011372 |           23 |
|    5 |      24 | Accept |         0.5 |      3754.1 |     0.38889 |      0.3889 |            6 |           16 |            3 |           39 |            2 |            2 |           30 |      0.46551 |   0.00013855 |           21 |
|    6 |      24 | Accept |         0.5 |      4237.8 |     0.38889 |      0.3889 |            4 |           12 |            5 |           46 |            2 |            1 |           31 |      0.46378 |   9.6656e-05 |           22 |
|    7 |      24 | Accept |     0.41667 |      4264.6 |     0.38889 |      0.3889 |            4 |           14 |            5 |           42 |            2 |            3 |           56 |      0.38677 |   1.3766e-05 |           21 |
|    8 |      24 | Accept |     0.40278 |      4381.6 |     0.38889 |      0.3889 |            6 |           12 |            5 |           50 |            3 |            3 |           36 |      0.48757 |   1.7998e-05 |           20 |
|    9 |      24 | Accept |     0.41667 |      4600.7 |     0.38889 |     0.38889 |            5 |           15 |            5 |           52 |            2 |            3 |           51 |      0.21687 |   8.0756e-05 |           16 |
|   10 |      24 | Accept |     0.40278 |        5350 |     0.38889 |     0.38889 |            4 |           14 |            4 |           24 |            2 |            3 |           61 |      0.26919 |   3.6077e-06 |           18 |
|   11 |      24 | Best   |     0.30556 |      5554.1 |     0.30556 |     0.30558 |            6 |           13 |            6 |           21 |            3 |            3 |           34 |       0.2861 |   7.1312e-06 |           24 |
|   12 |      24 | Accept |     0.40278 |      5813.4 |     0.30556 |     0.30557 |            6 |           16 |            6 |           56 |            2 |            3 |           54 |       0.3881 |   0.00016693 |           23 |
|   13 |      24 | Accept |     0.41667 |      5931.2 |     0.30556 |     0.30557 |            3 |            8 |            5 |           62 |            2 |            2 |           47 |      0.26478 |   5.2363e-06 |           20 |
|   14 |      24 | Accept |         0.5 |      2172.8 |     0.30556 |     0.30558 |            6 |            8 |            4 |           38 |            3 |            2 |           22 |      0.36988 |   0.00012724 |           18 |
|   15 |      24 | Accept |     0.47222 |      6539.4 |     0.30556 |     0.30558 |            5 |            8 |            5 |           62 |            2 |            1 |           21 |      0.42356 |   1.3883e-05 |           19 |
|   16 |      24 | Accept |     0.41667 |        2503 |     0.30556 |     0.30557 |            4 |           15 |            6 |           17 |            3 |            3 |           53 |      0.20091 |   0.00013077 |           21 |
|   17 |      24 | Accept |     0.38889 |      8209.9 |     0.30556 |     0.30581 |            6 |           16 |            3 |           25 |            3 |            2 |           57 |      0.36391 |   1.6356e-06 |           20 |
|   18 |      24 | Accept |       0.375 |      8264.8 |     0.30556 |     0.30557 |            5 |            9 |            4 |           41 |            2 |            3 |           17 |      0.41894 |   2.2523e-06 |           19 |
|   19 |      24 | Accept |     0.43056 |      9015.8 |     0.30556 |     0.30558 |            4 |           10 |            6 |           48 |            2 |            1 |           42 |      0.36796 |   1.0634e-06 |           19 |
|   20 |      24 | Accept |         0.5 |      6426.1 |     0.30556 |     0.30558 |            5 |           13 |            4 |           27 |            1 |            2 |           60 |       0.3847 |   0.00012583 |           20 |
|=======================================================================================================================================================================================================================================|
| Iter | Active  | Eval   | Objective   | Objective   | BestSoFar   | BestSoFar   |  FilterSize1 |  NumFilters1 |  FilterSize2 |  NumFilters2 |   StrideVal1 |   StrideVal2 |  FCLayerSize |      Dropout | InitialLearn-| MiniBatchSize|
|      | workers | result |             | runtime     | (observed)  | (estim.)    |              |              |              |              |              |              |              |              | Rate         |              |
|=======================================================================================================================================================================================================================================|
|   21 |      24 | Accept |       0.375 |      5530.7 |     0.30556 |     0.30557 |            5 |           14 |            5 |           37 |            2 |            3 |           25 |       0.2479 |   1.8969e-05 |           22 |
|   22 |      24 | Accept |     0.33333 |      4082.1 |     0.30556 |     0.30557 |            3 |           10 |            5 |           16 |            2 |            1 |           53 |      0.32223 |   2.1138e-06 |           18 |
|   23 |      24 | Accept |     0.40278 |      4836.7 |     0.30556 |     0.30557 |            5 |           13 |            7 |           41 |            3 |            1 |           41 |      0.25753 |   1.1862e-06 |           22 |
|   24 |      24 | Accept |     0.40278 |      4385.8 |     0.30556 |     0.30557 |            6 |            9 |            3 |           56 |            3 |            3 |           16 |      0.25936 |   4.2553e-06 |           24 |
|   25 |      24 | Accept |     0.43056 |      3881.6 |     0.30556 |     0.30557 |            6 |           10 |            6 |           52 |            3 |            2 |           16 |      0.31077 |   3.6663e-05 |           24 |
|   26 |      24 | Accept |     0.41667 |      4943.9 |     0.30556 |     0.30557 |            5 |           16 |            6 |           56 |            3 |            1 |           16 |      0.29776 |   3.4492e-06 |           19 |
|   27 |      24 | Accept |     0.38889 |      9394.3 |     0.30556 |     0.30556 |            7 |           15 |            3 |           47 |            2 |            3 |           58 |      0.20002 |     0.000108 |           20 |
|   28 |      24 | Accept |         0.5 |      7299.3 |     0.30556 |     0.30556 |            6 |           14 |            4 |           37 |            3 |            2 |           17 |      0.45609 |   0.00048129 |           23 |
|   29 |      24 | Accept |     0.41667 |      4156.8 |     0.30556 |     0.30556 |            6 |           14 |            4 |           19 |            3 |            1 |           62 |       0.3076 |   8.0898e-06 |           24 |
|   30 |      24 | Accept |     0.41667 |      7268.7 |     0.30556 |     0.30557 |            6 |           15 |            6 |           42 |            3 |            3 |           19 |      0.20162 |   5.6914e-05 |           22 |
|   31 |      24 | Accept |     0.40278 |       15646 |     0.30556 |     0.33423 |            5 |           10 |            5 |           56 |            1 |            2 |           30 |      0.33482 |   5.6847e-05 |           20 |
|   32 |      24 | Accept |         0.5 |       12039 |     0.30556 |     0.30557 |            5 |           11 |            4 |           64 |            1 |            2 |           29 |      0.22911 |   3.7576e-06 |           17 |
|   33 |      24 | Accept |     0.34722 |      7586.5 |     0.30556 |     0.33475 |            6 |            9 |            4 |           50 |            3 |            3 |           28 |      0.25417 |    2.909e-06 |           21 |
|   34 |      24 | Accept |         0.5 |      2927.9 |     0.30556 |     0.30557 |            6 |           16 |            7 |           34 |            3 |            1 |           58 |      0.28714 |   0.00036244 |           16 |
